d_odds,odds,home_name,score,away_name,_id,a_odds,result,match_id,time,h_odds
6.30,,德国U21,2:0,捷克U21,20170619009,4.15,3,周日009,2017-06-19,1.37
4.05,,葡萄牙,2:2,墨西哥,20170618008,3.18,1,周日008,2017-06-18,1.76
2.35,,科里蒂巴,0:0,科林蒂安,20170618007,2.92,1,周日007,2017-06-18,2.77
2.35,,仁川联,1:1,尚州尚武,20170618006,3.05,1,周日006,2017-06-18,2.66
2.03,,江原FC,2:1,济州联,20170618005,3.30,3,周日005,2017-06-18,3.00
1.53,,群马温泉,0:2,松本山雅,20170618004,3.60,0,周日004,2017-06-18,5.05
9.00,,浦和红钻,2:4,磐田喜悦,20170618003,5.90,0,周日003,2017-06-18,1.18
4.45,,葡萄牙U21,2:0,塞尔维亚U21,20170618022,3.35,3,周六022,2017-06-18,1.65
14.00,,俄罗斯,2:0,新西兰,20170617021,5.10,3,周六021,2017-06-17,1.16
1.67,,全南天龙,0:3,全北现代,20170617020,3.50,0,周六020,2017-06-17,4.10
2.80,,防御与正义,1:2,阿根廷独立,20170616003,2.76,0,周四003,2017-06-16,2.44
5.37,,科里蒂巴,0:0,巴伊亚,20170616001,3.35,1,周四001,2017-06-16,1.55
2.84,,桑托斯,1:0,帕尔梅拉斯,20170615010,3.10,3,周三010,2017-06-15,2.20
3.40,,巴拉纳竞技,0:2,桑托斯,20170612023,3.08,0,周日023,2017-06-12,1.96
9.90,,克鲁塞罗,2:0,戈亚尼亚竞技,20170612022,4.95,3,周日022,2017-06-12,1.21
2.36,,维多利亚,2:0,米内罗竞技,20170612021,3.12,3,周日021,2017-06-12,2.60
3.00,,水原三星,1:2,首尔FC,20170618002,3.04,0,周日002,2017-06-18,2.14
3.60,,东京FC,0:1,横滨水手,20170618001,3.40,0,周日001,2017-06-18,1.80
2.65,,洛杉矶银河,2:2,休斯敦迪纳摩,20170618042,3.20,1,周六042,2017-06-18,2.28
4.45,,皇家盐湖城,1:0,明尼苏达联,20170618041,3.85,3,周六041,2017-06-18,1.55
2.60,,温哥华白帽,1:1,达拉斯FC,20170618040,3.15,1,周六040,2017-06-18,2.35
3.80,,仙台七夕,3:0,甲府风林,20170604007,3.10,3,周日007,2017-06-04,1.84
1.85,,磐田喜悦,3:0,大阪钢巴,20170604006,3.37,3,周日006,2017-06-04,3.42
5.15,,大阪樱花,4:0,新泻天鹅,20170604005,3.80,3,周日005,2017-06-04,1.49
2.80,,大邱FC,2:2,光州FC,20170617019,2.88,1,周六019,2017-06-17,2.35
2.36,,金泽塞维根,3:2,山口雷诺法,20170617018,3.02,3,周六018,2017-06-17,2.67
2.69,,长崎航海,0:0,町田泽维亚,20170617017,3.10,1,周六017,2017-06-17,2.30
5.15,,德岛漩涡,3:0,熊本深红,20170617016,3.55,3,周六016,2017-06-17,1.53
3.48,,湘南海洋,1:0,京都不死鸟,20170617015,3.18,3,周六015,2017-06-17,1.90
1.44,,立陶宛,1:2,斯洛伐克,20170611012,3.55,0,周六012,2017-06-11,6.51
8.25,,波兰,3:1,罗马尼亚,20170611011,3.90,3,周六011,2017-06-11,1.33
5.80,,黑山,4:1,亚美尼亚,20170611010,3.55,3,周六010,2017-06-11,1.48
5.78,,科林蒂安,1:0,克鲁塞罗,20170615009,3.50,3,周三009,2017-06-15,1.49
4.95,,沙佩科恩斯,2:1,瓦斯科达伽马,20170615008,3.65,3,周三008,2017-06-15,1.53
8.80,,堪萨斯城竞技,4:0,明尼苏达联,20170615007,5.10,3,周三007,2017-06-15,1.22
4.22,,纽约红牛,1:0,纽约城,20170615006,3.80,3,周三006,2017-06-15,1.59
6.45,,弗拉门戈,2:0,庞特普雷塔,20170615005,4.00,3,周三005,2017-06-15,1.38
4.20,,庞特普雷塔,3:2,沙佩科恩斯,20170612020,3.30,3,周日020,2017-06-12,1.70
4.25,,科林蒂安,3:2,圣保罗,20170612019,3.20,3,周日019,2017-06-12,1.72
1.70,,阿瓦伊,1:1,弗拉门戈,20170612018,3.20,1,周日018,2017-06-12,4.40
1.06,,科索沃,1:4,土耳其,20170612017,7.55,0,周日017,2017-06-12,18.50
1.90,,冰岛,1:0,克罗地亚,20170612016,3.00,3,周日016,2017-06-12,3.70
3.92,,博卡青年,3:0,阿根廷独立,20170605035,3.00,3,周日035,2017-06-05,1.85
7.10,,克鲁塞罗,0:2,沙佩科恩斯,20170605034,3.95,0,周日034,2017-06-05,1.36
4.50,,图库曼竞技,1:2,圣胡安圣马丁,20170605033,3.40,0,周日033,2017-06-05,1.63
2.58,,科罗拉多急流,2:1,波特兰伐木工,20170618039,3.05,3,周六039,2017-06-18,2.42
2.59,,圣何塞地震,0:0,堪萨斯城竞技,20170618038,2.92,1,周六038,2017-06-18,2.50
7.75,,多伦多FC,2:0,华盛顿联,20170618037,4.85,3,周六037,2017-06-18,1.26
5.80,,桑托斯,0:0,庞特普雷塔,20170618036,3.75,1,周六036,2017-06-18,1.45
3.20,,新英格兰革命,1:2,芝加哥火焰,20170618035,3.45,0,周六035,2017-06-18,1.90
5.75,,秘鲁,1:0,巴拉圭,20170609008,3.85,3,周四008,2017-06-09,1.44
4.65,,奥林匹奥,1:0,西部铁路,20170609012,3.25,3,周四012,2017-06-09,1.65
2.22,,意大利U20,1:3,英格兰U20,20170608011,2.76,0,周四011,2017-06-08,3.16
2.10,,广岛三箭,1:3,鹿岛鹿角,20170604004,3.30,0,周日004,2017-06-04,2.86
3.93,,松本山雅,1:1,东京绿茵,20170604003,3.10,1,周日003,2017-06-04,1.81
2.00,,清水鼓动,0:2,东京FC,20170604002,3.40,0,周日002,2017-06-04,3.00
2.03,,札幌冈萨多,1:2,神户胜利船,20170604001,3.25,0,周日001,2017-06-04,3.05
6.67,,美国,1:1,委内瑞拉,20170604031,4.00,1,周六031,2017-06-04,1.37
4.75,,大分三神,2:1,赞岐釜玉海,20170617014,3.45,3,周六014,2017-06-17,1.59
2.54,,冈山绿雉,1:1,岐阜FC,20170617013,3.15,1,周六013,2017-06-17,2.40
2.13,,神户胜利船,0:1,大阪钢巴,20170617012,3.50,0,周六012,2017-06-17,2.67
1.41,,甲府风林,0:0,柏太阳神,20170617011,3.80,1,周六011,2017-06-17,6.35
3.22,,鸟栖沙岩,1:1,仙台七夕,20170617010,3.20,1,周六010,2017-06-17,1.98
2.32,,挪威,1:1,捷克,20170611009,2.85,1,周六009,2017-06-11,2.88
--,,德国,7:0,圣马力诺,20170611008,--,3,周六008,2017-06-11,--
1.47,,苏格兰,2:2,英格兰,20170611007,3.50,1,周六007,2017-06-11,6.10
1.17,,哈萨克斯坦,1:3,丹麦,20170611006,5.45,0,周六006,2017-06-11,11.00
1.96,,阿塞拜疆,0:1,北爱尔兰,20170611005,2.93,0,周六005,2017-06-11,3.60
2.65,,累西腓体育,0:0,圣保罗,20170615004,2.95,1,周三004,2017-06-15,2.42
2.92,,维多利亚,2:2,博塔弗戈,20170615003,2.95,1,周三003,2017-06-15,2.23
3.67,,戈亚尼亚竞技,3:1,阿瓦伊,20170615002,3.10,3,周三002,2017-06-15,1.87
6.00,,米内罗竞技,0:1,巴拉纳竞技,20170615001,4.05,0,周三001,2017-06-15,1.40
3.45,,西雅图海湾人,2:1,波特兰伐木工,20170614013,3.35,3,周二013,2017-06-14,1.85
--,,马其顿,1:2,西班牙,20170612015,--,0,周日015,2017-06-12,--
--,,意大利,5:0,列支敦士登,20170612014,--,3,周日014,2017-06-12,--
4.55,,以色列,0:3,阿尔巴尼亚,20170612013,3.30,0,周日013,2017-06-12,1.65
